"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146859",338.482056707971,-0.106809498466873,0.13835152373954,-0.772015338753708,0.440105342783932,0.757121521284064
"ENSG00000146872",472.426889063046,-0.116101815466326,0.123963665642998,-0.936579399004599,0.348974952997694,0.68878684304556
"ENSG00000146904",3.21254098351084,-1.02130160684227,1.19973005422634,-0.851276171039047,0.394615958596979,NA
"ENSG00000146909",353.913902607024,-0.118083310955826,0.136485337851234,-0.865172133614336,0.386944317806873,0.719871659510974
"ENSG00000146910",1.19480623228146,2.07302430576172,2.72405438690061,0.761006944549434,0.446652919346966,NA
"ENSG00000146918",65.1183378213392,-0.32877755530816,0.27932139781156,-1.17705824861282,0.239172257996179,0.588860940817706
"ENSG00000146926",1177.44640101113,0.00923224627226525,0.116516163721064,0.0792357556018317,0.936845105127018,0.98439824563779
"ENSG00000146938",9.41524698372232,0.480600776000934,0.764741328354432,0.628448807696963,0.529709972200007,NA
"ENSG00000146950",6.89079202813316,0.342383775855625,0.77397127312164,0.442372718143268,0.658219517655956,NA
"ENSG00000146963",814.236972234265,-0.105301726693422,0.105669361377254,-0.996520896132618,0.318997119277202,0.664996532319576
"ENSG00000146966",133.161764998217,0.260222960684525,0.211757342469331,1.22887337765968,0.21911928442128,0.56656719652184
"ENSG00000147010",253.238111707793,0.359884369498732,0.181253723214083,1.98552814870271,0.0470857415471896,0.247399256020018
"ENSG00000147027",421.801321976767,-0.293817698566125,0.126948673424093,-2.31446056615794,0.0206424719344628,0.154061693522555
"ENSG00000147036",5.10922246493193,-0.0716746302380371,0.885272033944201,-0.0809633959842843,0.935471062675691,NA
"ENSG00000147044",144.287273980313,-0.100273877597234,0.189403318515912,-0.529419855908227,0.596514227073001,0.848294802211687
"ENSG00000147050",203.817389190555,-0.382082415352968,0.170955535562329,-2.23498124290724,0.0254185801906686,0.173907846979702
"ENSG00000147059",7.86079138147711,-1.75071164692842,0.845989535778954,-2.06942470667374,0.0385062500418053,NA
"ENSG00000147065",1144.02010630855,0.522779895634883,0.131579714868015,3.97310403172155,7.09420460333223e-05,0.00322491885940411
"ENSG00000147082",7.36930476406871,-1.21425010772941,0.827948663207114,-1.46657656650586,0.142491278555366,NA
"ENSG00000147099",129.199593435001,-0.0114474232523421,0.189386880189977,-0.060444647701356,0.951801499916694,0.988776416112656
"ENSG00000147100",85.3881174502586,0.0753282550058262,0.238077289847411,0.316402522282179,0.751697002726422,0.920543356702661
"ENSG00000147113",298.027208396198,0.592230709777358,0.151691649369981,3.90417476662073,9.45474423243219e-05,0.0039216890102356
"ENSG00000147117",11.2724156254765,-0.125804026805171,0.616832077818683,-0.203951823079719,0.838391147128683,NA
"ENSG00000147118",48.7594558078205,0.0900072661822939,0.317177082846669,0.283776070372038,0.776581994043727,0.929686832327207
"ENSG00000147119",37.519430668946,0.120692710418654,0.337325872562875,0.357792627946607,0.720498507913434,NA
"ENSG00000147121",62.3166905482744,0.17759516908878,0.271767957572323,0.653480898466546,0.513446299918169,0.801335773164194
"ENSG00000147123",2541.6333492047,0.0410768475969892,0.0971631782222054,0.422761465285227,0.672469305284806,0.8857088598863
"ENSG00000147124",410.301103085517,-0.210108843544261,0.1266929334725,-1.65841012427002,0.097234714481239,0.371280362300375
"ENSG00000147130",386.775757109945,-0.0621299875817468,0.134216750842284,-0.462907850114436,0.643430420399049,0.870732756463912
"ENSG00000147133",418.261508394933,-0.248110751844024,0.129650425775985,-1.91369022013642,0.0556597494122934,0.271246939826605
"ENSG00000147138",2.03601767633363,-0.00597419878410832,1.45878344836004,-0.00409532942728716,0.996732409012424,NA
"ENSG00000147140",1459.42770600845,-0.0695465398133083,0.0911086479373985,-0.763336317547971,0.445262848260689,0.759751075361021
"ENSG00000147144",57.1105154174127,0.158684049988351,0.289827362760011,0.547512313803677,0.584026813021036,0.842758887061438
