"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0060294","cilium movement involved in cell motility","1/4","158/18870",0.0330766046641637,0.0504151474316689,0.0115122308253881,"338",1,"Up-regulated"
"GO:0001539","cilium or flagellum-dependent cell motility","1/4","163/18870",0.0341097527702632,0.0511646291553948,0.0116833739647518,"338",1,"Up-regulated"
"GO:0060285","cilium-dependent cell motility","1/4","163/18870",0.0341097527702632,0.0511646291553948,0.0116833739647518,"338",1,"Up-regulated"
"GO:1903169","regulation of calcium ion transmembrane transport","1/4","174/18870",0.0363797641295981,0.0540214125681436,0.012335716598685,"196541",1,"Up-regulated"
"GO:0055088","lipid homeostasis","1/4","175/18870",0.0365859302048803,0.0540214125681436,0.012335716598685,"338",1,"Up-regulated"
"GO:1905952","regulation of lipid localization","1/4","183/18870",0.03823406809421,0.0558857538990824,0.0127614364236278,"338",1,"Up-regulated"
"GO:0006694","steroid biosynthetic process","1/4","184/18870",0.0384399365443424,0.0558857538990824,0.0127614364236278,"338",1,"Up-regulated"
"GO:0046890","regulation of lipid biosynthetic process","1/4","189/18870",0.0394687830892263,0.0569435114798761,0.013002973938596,"338",1,"Up-regulated"
"GO:0009755","hormone-mediated signaling pathway","1/4","193/18870",0.0402912656904355,0.0576897667840327,0.0131733803294087,"196541",1,"Up-regulated"
"GO:0055001","muscle cell development","1/4","195/18870",0.0407023088572817,0.0576982880135244,0.0131753261406544,"1827",1,"Up-regulated"
"GO:0099173","postsynapse organization","1/4","196/18870",0.0409077809196416,0.0576982880135244,0.0131753261406544,"23316",1,"Up-regulated"
"GO:0007416","synapse assembly","1/4","200/18870",0.0417293391111574,0.057864300032827,0.0132132347610466,"23316",1,"Up-regulated"
"GO:0007626","locomotory behavior","1/4","201/18870",0.0419346461622316,0.057864300032827,0.0132132347610466,"1827",1,"Up-regulated"
"GO:0003341","cilium movement","1/4","203/18870",0.0423451612929581,0.057864300032827,0.0132132347610466,"338",1,"Up-regulated"
"GO:0097553","calcium ion transmembrane import into cytosol","1/4","205/18870",0.042755544485352,0.057864300032827,0.0132132347610466,"196541",1,"Up-regulated"
"GO:0009566","fertilization","1/4","207/18870",0.0431657957676858,0.057864300032827,0.0132132347610466,"338",1,"Up-regulated"
"GO:0071383","cellular response to steroid hormone stimulus","1/4","208/18870",0.0433708719514144,0.057864300032827,0.0132132347610466,"196541",1,"Up-regulated"
"GO:1901654","response to ketone","1/4","208/18870",0.0433708719514144,0.057864300032827,0.0132132347610466,"196541",1,"Up-regulated"
"GO:0019722","calcium-mediated signaling","1/4","210/18870",0.0437809254216628,0.057864300032827,0.0132132347610466,"1827",1,"Up-regulated"
"GO:0043414","macromolecule methylation","1/4","210/18870",0.0437809254216628,0.057864300032827,0.0132132347610466,"196541",1,"Up-regulated"
"GO:1901888","regulation of cell junction assembly","1/4","213/18870",0.0443957584370084,0.0582694329485735,0.0133057463151853,"23316",1,"Up-regulated"
"GO:0018205","peptidyl-lysine modification","1/4","219/18870",0.0456245349333183,0.0594692213958425,0.0135797163866864,"196541",1,"Up-regulated"
"GO:0044242","cellular lipid catabolic process","1/4","223/18870",0.0464430606559229,0.0601214963285577,0.0137286624866102,"338",1,"Up-regulated"
"GO:0016358","dendrite development","1/4","233/18870",0.0484870714811442,0.0623405204757568,0.014235373653612,"23316",1,"Up-regulated"
"GO:0051651","maintenance of location in cell","1/4","237/18870",0.0493037550116815,0.0629622276838365,0.0143773396549,"196541",1,"Up-regulated"
"GO:0050769","positive regulation of neurogenesis","1/4","242/18870",0.0503238699994482,0.0638336337576893,0.0145763240549444,"23316",1,"Up-regulated"
"GO:0050807","regulation of synapse organization","1/4","244/18870",0.0507316860416335,0.0639219244124582,0.0145964851067156,"23316",1,"Up-regulated"
"GO:0022604","regulation of cell morphogenesis","1/4","247/18870",0.0513431638149525,0.0640121006285395,0.0146170767238659,"23316",1,"Up-regulated"
"GO:0050803","regulation of synapse structure or activity","1/4","250/18870",0.0519543461249482,0.0640121006285395,0.0146170767238659,"23316",1,"Up-regulated"
"GO:0051924","regulation of calcium ion transport","1/4","251/18870",0.0521580079195507,0.0640121006285395,0.0146170767238659,"196541",1,"Up-regulated"
"GO:1901617","organic hydroxy compound biosynthetic process","1/4","251/18870",0.0521580079195507,0.0640121006285395,0.0146170767238659,"338",1,"Up-regulated"
"GO:0032259","methylation","1/4","282/18870",0.0584552647126952,0.07127770987548,0.0162761687824822,"196541",1,"Up-regulated"
"GO:0051962","positive regulation of nervous system development","1/4","290/18870",0.0600752568982962,0.0727834843190896,0.0166200103429834,"23316",1,"Up-regulated"
"GO:0051146","striated muscle cell differentiation","1/4","305/18870",0.0631071067383091,0.0757338398741616,0.0172937200492377,"1827",1,"Up-regulated"
"GO:0006874","intracellular calcium ion homeostasis","1/4","308/18870",0.0637125954496915,0.0757338398741616,0.0172937200492377,"196541",1,"Up-regulated"
"GO:0015850","organic hydroxy compound transport","1/4","308/18870",0.0637125954496915,0.0757338398741616,0.0172937200492377,"338",1,"Up-regulated"
"GO:0019932","second-messenger-mediated signaling","1/4","310/18870",0.0641160915121191,0.0757371330986906,0.0172944720526111,"1827",1,"Up-regulated"
"GO:1904062","regulation of monoatomic cation transmembrane transport","1/4","315/18870",0.06512426109845,0.0764502195503544,0.0174573043807548,"196541",1,"Up-regulated"
"GO:0008202","steroid metabolic process","1/4","327/18870",0.0675405447686188,0.07876336540754,0.0179855081131113,"338",1,"Up-regulated"
"GO:0048545","response to steroid hormone","1/4","330/18870",0.0681438831239164,0.07876336540754,0.0179855081131113,"196541",1,"Up-regulated"
"GO:0055074","calcium ion homeostasis","1/4","331/18870",0.0683449308298231,0.07876336540754,0.0179855081131113,"196541",1,"Up-regulated"
"GO:0016042","lipid catabolic process","1/4","334/18870",0.0689478787591057,0.0789766611240665,0.0180342139019032,"338",1,"Up-regulated"
"GO:0062012","regulation of small molecule metabolic process","1/4","337/18870",0.0695505339794364,0.0791870537476716,0.0180822567733475,"338",1,"Up-regulated"
"GO:0019216","regulation of lipid metabolic process","1/4","342/18870",0.0705543091396509,0.0798488887867905,0.0182333859106567,"338",1,"Up-regulated"
"GO:0070588","calcium ion transmembrane transport","1/4","352/18870",0.0725594227624644,0.0816293506077725,0.0186399519627885,"196541",1,"Up-regulated"
"GO:0031346","positive regulation of cell projection organization","1/4","355/18870",0.0731603237182608,0.0818183501937946,0.018683109762994,"23316",1,"Up-regulated"
"GO:0006066","alcohol metabolic process","1/4","373/18870",0.076759599798174,0.0853386138932641,0.0194869572243042,"338",1,"Up-regulated"
"GO:0046486","glycerolipid metabolic process","1/4","390/18870",0.0801492807660481,0.0879969275666847,0.0200939795613148,"338",1,"Up-regulated"
"GO:0050767","regulation of neurogenesis","1/4","390/18870",0.0801492807660481,0.0879969275666847,0.0200939795613148,"23316",1,"Up-regulated"
"GO:0001701","in utero embryonic development","1/4","392/18870",0.0805474522171241,0.0879969275666847,0.0200939795613148,"338",1,"Up-regulated"
"GO:0010959","regulation of metal ion transport","1/4","398/18870",0.0817411910026429,0.0887099531420062,0.020256797988428,"196541",1,"Up-regulated"
